1c. LEA ID,1s. Latitude,1t. Longitude,1a. State,1b. Local Education Agency (LEA) or entity name,1l. LEA type (name),adoption_count,adopted,knn5_peer_adopt_count,knn5_peer_adopt_share,knn5_peer_adopt_share_idw,within_50km_peer_count,within_50km_peer_adopt_count,within_50km_peer_adopt_share,within_100km_peer_count,within_100km_peer_adopt_count,within_100km_peer_adopt_share
200710,59.043046,-158.468244,ALASKA,Southwest Region School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,2,0,0.0
200715,65.171308,-152.087844,ALASKA,Tanana City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200720,53.872671,-166.529624,ALASKA,Unalaska City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200730,57.497734,-134.584631,ALASKA,Chatham School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,5,0,0.0
200760,61.582025,-159.538328,ALASKA,Kuspuk School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200770,63.872903,-149.015539,ALASKA,Denali Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,1,0,0.0
200775,66.564638,-145.254014,ALASKA,Yukon Flats School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200780,61.133205,-146.376124,ALASKA,Valdez City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,1,0,0.0
200800,61.1364,-149.848232,ALASKA,Chugach School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,2,0,0.0,4,0,0.0
5100090,38.034707,-78.483739,VIRGINIA,Albemarle County Public Schools,Regular public school district that is not a component of a supervisory union,4,1,1,0.2,0.268409395301548,20,5,0.25,59,13,0.22033898305084745
200840,59.546637,-139.723329,ALASKA,Yakutat School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200862,64.83593,-147.826946,ALASKA,Yukon-Koyukuk School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,2,0,0.0
1900031,42.783082,-94.950444,IOWA,Albert City-Truesdale Comm School District,Regular public school district that is not a component of a supervisory union,1,1,0,0.0,0.0,16,0,0.0,60,2,0.03333333333333333
400001,33.785837,-111.953594,ARIZONA,Cave Creek Unified District (4244),Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,299,13,0.043478260869565216,420,21,0.05
400003,34.7464,-112.453771,ARIZONA,Chino Valley Unified District (4474),Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,31,1,0.03225806451612903,57,2,0.03508771929824561
3001860,47.004462,-114.480836,MONTANA,Alberton K-12 Schools,Regular public school district that is not a component of a supervisory union,3,1,0,0.0,0.0,17,1,0.058823529411764705,48,8,0.16666666666666666
400005,33.781927,-113.619871,ARIZONA,Salome Consolidated Elementary District (4514),Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,4,0,0.0,16,0,0.0
400016,31.55762,-110.290171,ARIZONA,Center for Academic Success Inc. (4191),Independent charter district,0,0,0,0.0,0.0,19,1,0.05263157894736842,83,2,0.024096385542168676
400018,35.191784,-111.666654,ARIZONA,Pine Forest Education Association Inc. (4201),Independent charter district,0,0,0,0.0,0.0,13,1,0.07692307692307693,43,2,0.046511627906976744
400019,35.238075,-111.668772,ARIZONA,Flagstaff Arts And Leadership Academy (4202),Independent charter district,0,0,0,0.0,0.0,13,1,0.07692307692307693,40,2,0.05
400020,35.200466,-111.631429,ARIZONA,Flagstaff Montessori (4205),Independent charter district,0,0,1,0.2,0.1803299618784818,12,1,0.08333333333333333,41,2,0.04878048780487805
400021,36.996523,-113.004242,ARIZONA,Colorado City Unified District (4370),Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,7,0,0.0,16,0,0.0
400022,34.253504,-109.692177,ARIZONA,Vernon Elementary District (4162),Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,11,0,0.0,23,2,0.08695652173913043
400023,36.11397,-110.216254,ARIZONA,Pinon Unified District (4390),Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,14,1,0.07142857142857142,37,2,0.05405405405405406
400026,34.426548,-110.59637,ARIZONA,Heber-Overgaard Unified District (4392),Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,7,0,0.0,24,2,0.08333333333333333
400028,32.83311,-109.7052,ARIZONA,Triumphant Learning Center (4225),Independent charter district,0,0,0,0.0,0.0,13,1,0.07692307692307693,23,1,0.043478260869565216
400031,33.790133,-112.120925,ARIZONA,Ridgeline Academy Inc. (4301),Independent charter district,0,0,0,0.0,0.0,290,17,0.05862068965517241,414,19,0.04589371980676329
400033,33.403803,-111.836464,ARIZONA,The Boys & Girls Clubs of the Valley (4305),Independent charter district,0,0,1,0.2,0.2066549681166402,356,19,0.05337078651685393,411,21,0.051094890510948905
400034,33.6207,-112.115121,ARIZONA,Reid Traditional Schools' Valley Academy Inc. (4306),Independent charter district,0,0,0,0.0,0.0,341,18,0.05278592375366569,403,21,0.052109181141439205
400037,33.524779,-112.122939,ARIZONA,Twenty First Century Charter School Inc. Bennett  (4310),Independent charter district,0,0,0,0.0,0.0,355,19,0.05352112676056338,406,22,0.054187192118226604
400040,33.424138,-111.830049,ARIZONA,STEP UP Schools Inc. (4313),Independent charter district,0,0,1,0.2,0.21120917502530562,357,19,0.05322128851540616,412,21,0.050970873786407765
400041,33.44933,-111.997097,ARIZONA,Maricopa County Community College District dba Gat (4314),Independent charter district,0,0,0,0.0,0.0,369,19,0.051490514905149054,406,21,0.05172413793103448
400043,33.415291,-111.919221,ARIZONA,New School For The Arts (4316),Independent charter district,0,0,0,0.0,0.0,365,19,0.052054794520547946,406,21,0.05172413793103448
400047,33.507868,-111.832459,ARIZONA,Salt River Pima-Maricopa  Community Schools (4320),Independent charter district,0,0,0,0.0,0.0,355,19,0.05352112676056338,413,21,0.05084745762711865
400052,33.401921,-112.071424,ARIZONA,Espiritu Community Development Corp. (4335),Independent charter district,0,0,1,0.2,0.00039519214762716184,371,19,0.05121293800539083,407,22,0.05405405405405406
400053,33.41415,-111.8321,ARIZONA,Heritage Academy Inc. (4336),Independent charter district,0,0,1,0.2,0.4873550480196251,357,19,0.05322128851540616,412,21,0.050970873786407765
400054,33.50464,-112.020421,ARIZONA,Villa Montessori Charter School (4339),Independent charter district,0,0,2,0.4,0.4492738621425702,360,19,0.05277777777777778,405,21,0.05185185185185185
400056,33.464439,-112.069791,ARIZONA,Arizona School For The Arts (4345),Independent charter district,0,0,1,0.2,0.20152216974612022,366,19,0.05191256830601093,407,22,0.05405405405405406
400057,33.456438,-112.081162,ARIZONA,Arizona Center for Youth Resources (4346),Independent charter district,0,0,0,0.0,0.0,366,19,0.05191256830601093,407,22,0.05405405405405406
400061,33.553719,-112.107124,ARIZONA,Intelli-School Inc. (4352),Independent charter district,0,0,0,0.0,0.0,355,19,0.05352112676056338,406,21,0.05172413793103448
400065,33.240518,-111.683653,ARIZONA,Benjamin Franklin Charter School - Queen Creek (4355),Independent charter district,0,0,0,0.0,0.0,265,14,0.052830188679245285,409,21,0.05134474327628362
400068,33.56995,-112.082161,ARIZONA,Montessori Day Public Schools Chartered Inc. (4359),Independent charter district,0,0,0,0.0,0.0,353,19,0.053824362606232294,406,21,0.05172413793103448
400069,33.475943,-112.069649,ARIZONA,Khalsa Montessori Elementary Schools (4360),Independent charter district,0,0,1,0.2,0.09036185690673769,365,19,0.052054794520547946,407,22,0.05405405405405406
400070,33.392618,-111.918573,ARIZONA,Tempe Preparatory Academy (4361),Independent charter district,0,0,1,0.2,0.48382036267505396,363,19,0.05234159779614325,406,21,0.05172413793103448
400071,33.308508,-111.874099,ARIZONA,Bright Beginnings School Inc. (4362),Independent charter district,0,0,1,0.2,0.4398409975583017,363,21,0.05785123966942149,407,21,0.051597051597051594
400072,33.393979,-111.769652,ARIZONA,Montessori Education Centre Charter School (4363),Independent charter district,0,0,0,0.0,0.0,342,18,0.05263157894736842,410,21,0.05121951219512195
400074,35.22271,-114.027891,ARIZONA,Kingman Academy Of Learning (4383),Independent charter district,0,0,0,0.0,0.0,5,0,0.0,20,1,0.05
400075,35.033769,-114.595663,ARIZONA,Young Scholars Academy Charter School Corp. (4385),Independent charter district,0,0,0,0.0,0.0,10,1,0.1,18,1,0.05555555555555555
