nces_id,state,urbanicity,enrollment,median_income,poverty_rate,pct_white,pm25,priority_r1,priority_r23,r1_fuel_group,is_r1_third_party,IV_Z_R1,is_r3_third_party,IV_Z_R3,IS_R2_GRANTEE,is_r1_loser_third_party,IS_R1_LOSER,is_r3_loser_third_party,IS_R3_LOSER,IV_Z,IS_ADOPTER,IS_ADOPTER_CSBP_ANY,IS_LOSER_R1_only,IS_LOSER_R3_only,IS_LOSER_pooled,Y_R3_apply,wri_any_2023,wri_any_2024,wri_any_2023_24,wri_awarded_by_2023,wri_awarded_by_2024,wri_delivered_by_2023q3,wri_operating_by_2023q3,wri_visible_by_2023q3,wri_post_ann_2022,is_pre_r1_adopter,wri_first_oem,wri_first_dealer,year_first_awarded,year_first_operating,year_first_delivered,wri_post_r1_cum,r1_first_delivery_year,r1_first_delivery_q_index,r1_first_operating_year,r1_first_operating_q_index,r1_early_delivery,r1_late_or_unknown,r1_pre_r3_delivery,r1_post_r3_delivery,r1_delivery_unknown,r1_pre_r3_operating,r1_post_r3_operating,r1_operating_unknown,pct_dem_2020
0100480,ALABAMA,Town,1397.0,29063.0,0.309,0.248,9.111262301,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.7470192933015392
0100510,ALABAMA,Rural,2900.0,45236.0,0.182,0.516,8.796837929,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.4178962900505902
0100540,ALABAMA,Rural,8050.0,54622.0,0.139,0.8290000000000001,9.242740696,0,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.29845242531824334
0100600,ALABAMA,Town,3158.0,47652.0,0.143,0.636,9.470850247,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.41644857367181365
0100630,ALABAMA,Rural,3886.0,43475.0,0.15,0.915,9.090985367,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.13202178684659785
0100660,ALABAMA,Rural,7858.0,56243.0,0.157,0.8109999999999999,9.505092032,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.1591403417918177
0100690,ALABAMA,Rural,1097.0,38581.0,0.216,0.5670000000000001,8.945013421,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.41894426580921756
0100720,ALABAMA,Rural,2171.0,44496.0,0.247,0.526,9.018934828,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.4381423677198325
0806900,COLORADO,Suburban,35747.0,87305.0,0.081,0.7559999999999999,8.731405661,0,0,ZE_only,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,,,2023.0,,,1,,,,,,,,,,,,,0.5952084133448577
0100780,ALABAMA,Rural,2507.0,48100.0,0.141,0.93,9.098387873,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.09339975093399751
0100810,ALABAMA,Rural,2846.0,58810.0,0.158,0.84,8.72845026,1,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.22787878787878788
0100840,ALABAMA,Rural,2621.0,56827.0,0.145,0.841,7.80064085,0,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.2991823854263788
0100870,ALABAMA,Rural,1487.0,37986.0,0.13,0.501,8.825792596,1,1,nonapp,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.46048750194069243
0100900,ALABAMA,Rural,805.0,50013.0,0.111,0.662,9.288373283,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.3277970432560686
0100930,ALABAMA,Rural,3040.0,50656.0,0.165,0.904,8.62621467,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.15611015490533564
0100960,ALABAMA,Rural,2240.0,43103.0,0.131,0.706,8.771533973,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.2569140093698051
0100990,ALABAMA,Town,3226.0,53972.0,0.1159999999999999,0.93,8.829489162,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.10699863802537574
0101020,ALABAMA,Rural,9846.0,52304.0,0.124,0.927,8.846676434,1,0,ZE_only,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.10699863802537574
0101050,ALABAMA,Rural,3270.0,49968.0,0.159,0.831,8.794216038,1,1,ZE_only,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.2619313000303982
0101080,ALABAMA,Town,1154.0,53067.0,0.158,0.648,8.783643298,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.2619313000303982
0101110,ALABAMA,Rural,2488.0,44036.0,0.1989999999999999,0.387,9.16990691,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.6846171070309002
0101140,ALABAMA,Rural,8717.0,43865.0,0.201,0.838,8.691731611,1,1,ZE_only,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.14583049461779535
0101170,ALABAMA,Urban,8745.0,52539.0,0.152,0.65,8.45744151,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.26201545838137097
0101200,ALABAMA,Town,2064.0,40968.0,0.215,0.497,9.104996059,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.50348623853211
0101230,ALABAMA,Urban,8254.0,49203.0,0.182,0.597,8.800699544,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.2739862880710866
0101260,ALABAMA,Rural,685.0,44189.0,0.144,0.626,8.664976388,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.22787878787878788
0101290,ALABAMA,Suburban,11971.0,68589.0,0.104,0.7440000000000001,9.588322841,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.2526687789422374
0101320,ALABAMA,Town,6651.0,63859.0,0.161,0.684,8.770264968,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.24490504395459306
0101350,ALABAMA,Town,4208.0,36866.0,0.244,0.622,8.866141809,1,1,ZE_only,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.3091137649277184
0101380,ALABAMA,Suburban,8702.0,54432.0,0.1009999999999999,0.913,9.199850292,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.2423524974857526
0101410,ALABAMA,Town,6289.0,35127.0,0.297,0.48,9.053854726,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.45788172656398557
3906190,OHIO,Rural,3546.0,46034.0,0.183,0.964,8.085342532,1,1,nonapp,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,Lion Electric,,2024.0,,,1,,,,,,,,,,,,,0.18529973759339338
0101470,ALABAMA,Rural,2163.0,44936.0,0.206,0.8290000000000001,8.67838444,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.1591375770020534
0101530,ALABAMA,Urban,4645.0,40944.0,0.201,0.73,7.704373637,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.26872505018155574
0601710,CALIFORNIA,Suburban,7742.0,67836.0,0.175,0.471,7.108023182,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,Blue Bird,A-Z Bus Sales,2019.0,2020.0,2020.0,0,,,,,,,,,,,,,0.541960220179996
