NCES District ID,IS_APPLICANT,Round,IS_ADOPTER,NUM_ADOPTED,Funding Mechanism,IV_Z
1700125,1,R1 - 2022 Rebates,0,0.0,None,0
1700321,1,R1 - 2022 Rebates,0,0.0,None,0
1701388,1,R1 - 2022 Rebates,0,0.0,None,0
1701417,1,R1 - 2022 Rebates,0,0.0,None,0
1703210,1,R1 - 2022 Rebates,0,0.0,None,0
1703480,1,R1 - 2022 Rebates,0,0.0,None,0
1704710,1,R1 - 2022 Rebates,1,2.0,COMPETITIVE_R2,0
1705910,1,R1 - 2022 Rebates,0,0.0,None,0
1706060,1,R1 - 2022 Rebates,0,0.0,None,0
1706420,0,,1,1.0,COMPETITIVE_R2,0
1706510,1,R1 - 2022 Rebates,0,0.0,None,0
1707170,1,R1 - 2022 Rebates,1,5.0,COMPETITIVE_R2,0
1707440,1,R1 - 2022 Rebates,0,0.0,None,0
1707740,1,R1 - 2022 Rebates,1,1.0,COMPETITIVE_R2,0
1707770,1,R1 - 2022 Rebates,0,0.0,None,0
1708040,1,R1 - 2022 Rebates,1,10.0,COMPETITIVE_R2,0
1708250,1,R1 - 2022 Rebates,0,0.0,None,0
1708400,0,,1,1.0,COMPETITIVE_R2,0
1708500,1,R1 - 2022 Rebates,0,0.0,None,0
1709930,1,R1 - 2022 Rebates,1,50.0,COMPETITIVE_R2,0
1710830,1,R1 - 2022 Rebates,0,0.0,None,0
1711010,1,R1 - 2022 Rebates,0,0.0,None,0
1711520,1,R1 - 2022 Rebates,0,0.0,None,0
1711850,0,,1,15.0,COMPETITIVE_R2,0
1712930,1,R1 - 2022 Rebates,0,0.0,None,0
1712960,1,R1 - 2022 Rebates,0,0.0,None,0
1713320,1,R1 - 2022 Rebates,1,25.0,COMPETITIVE_R2,0
1713770,1,R1 - 2022 Rebates,0,0.0,None,0
1714460,1,R1 - 2022 Rebates,1,5.0,COMPETITIVE_R2,0
1715780,1,R1 - 2022 Rebates,0,0.0,None,0
