nces_id,is_charter
400780,1
400781,1
400782,1
400783,1
400785,1
400786,1
400787,1
400788,1
400789,1
400790,0
400792,1
400793,1
400794,0
400797,1
400798,1
400799,1
400800,1
400801,1
400802,1
400803,1
400805,1
400807,1
400810,1
400814,1
400815,1
400816,1
400817,1
400818,1
400819,1
400820,1
400821,1
400822,1
400823,1
400824,1
400827,1
400828,1
400829,1
400830,1
400831,1
400832,1
400833,1
400834,1
400835,0
400837,0
400838,1
400839,1
400840,0
400841,1
400842,1
400843,1
400844,1
400845,1
400846,1
400847,1
400849,1
400850,1
400851,1
400852,1
400853,1
400855,1
400857,1
400858,1
400859,1
400861,1
400863,1
400864,1
400866,1
400867,1
400870,0
400871,1
400872,1
400873,1
400875,1
400876,1
400877,1
400878,1
400879,1
400880,1
400881,1
400882,1
400884,1
400885,1
400886,1
400887,1
400888,1
400890,1
400891,1
400892,1
400893,1
400894,1
400895,1
400897,1
400898,1
400899,1
400900,1
400902,1
400903,1
400904,1
400905,1
400907,1
400909,1
400910,0
400911,1
400912,1
400913,1
400914,1
400915,1
400916,1
400918,1
400919,1
400920,0
400921,1
400922,1
400924,1
400925,1
400926,1
400927,1
400929,1
400930,1
400933,1
400934,1
400936,1
400937,1
400939,1
400940,1
400941,1
400942,1
400943,1
400944,1
400945,1
400946,1
400947,1
400948,1
400950,1
400951,1
400952,1
400953,1
400954,1
400955,1
400956,1
400958,1
400959,1
400960,0
400961,1
400962,1
400963,1
400964,1
400965,1
400966,1
400967,1
400968,1
400969,1
400970,1
400972,0
400973,0
400975,1
400976,1
400977,1
400978,1
400980,1
400981,1
400982,0
400983,0
400984,0
400985,0
400986,0
400987,1
400988,1
400989,1
400990,1
400991,1
400992,1
400996,1
400997,1
400998,1
400999,1
401000,0
401002,1
401003,1
401004,1
401005,1
401006,1
401007,1
401008,1
401009,1
401010,1
401011,1
401012,1
401013,1
401014,1
401015,0
401016,1
401050,0
401080,0
401160,0
401180,0
401230,0
3500060,0
401290,0
401330,0
401380,0
401410,0
401460,0
401500,0
401600,0
401650,0
2602160,0
401740,0
401760,0
3602670,0
5100120,0
401920,0
600153,0
402130,0
402190,0
402220,0
402250,0
4807830,0
402370,0
402400,0
601950,0
402460,0
402480,0
402490,0
402530,0
402600,0
402690,0
402740,0
402760,0
402790,0
402820,0
2400030,0
402920,0
2602520,0
403040,0
403060,0
403080,0
403150,0
403200,0
403240,0
403290,0
403310,0
403400,0
403420,0
403450,0
403500,0
403550,0
403660,0
403730,0
403780,0
403820,0
403860,0
403870,0
403900,0
403950,0
502250,0
403990,0
5500180,0
404060,0
404170,0
404200,0
404230,0
404280,0
601943,1
404320,0
404380,0
404410,0
502280,0
602070,0
404530,0
404570,0
404630,0
404720,0
404770,0
404820,0
404860,0
404920,0
602450,0
405030,0
405070,0
405100,0
3904684,0
405220,0
405320,0
405340,0
405360,0
405400,0
405430,0
405460,0
405500,0
405530,0
405640,0
1703690,0
405730,0
405760,0
405820,0
405850,0
405880,0
5100180,0
405980,0
406000,0
6000030,0
406070,0
406120,0
406150,0
406210,0
406250,0
2501890,0
5100210,0
406360,0
406440,0
406510,0
406580,0
406630,0
406730,0
2501920,0
406780,0
406810,0
406850,0
4101230,0
406900,0
406930,0
406960,0
407020,0
602610,0
407130,0
407170,0
407200,0
407240,0
407300,0
407380,0
407430,0
407500,0
407520,0
407530,0
407570,0
407630,0
407680,0
407700,0
407750,0
407770,0
407820,0
407860,0
602630,0
407920,0
408020,0
408080,0
408130,0
408170,0
408230,0
408280,0
2602790,0
408340,0
408410,0
4500840,0
408460,0
408490,0
4500900,0
408550,0
408600,0
408640,0
408680,0
3002070,0
2501950,0
408850,0
408880,0
408910,0
409060,0
409090,0
409120,0
409160,0
409190,0
409250,0
409310,0
409360,0
409390,0
409430,0
409460,0
409510,0
409540,0
409570,0
409600,0
1903630,0
409731,0
409733,0
409734,0
409735,1
409736,1
409737,1
409738,1
409739,1
409740,1
409741,1
409742,1
409743,1
500001,0
500002,0
500005,0
500006,0
500008,0
500009,0
500011,0
500012,0
500013,0
500014,0
500015,0
500016,0
500017,0
500018,0
2602820,0
500020,0
500021,0
500022,0
500023,0
500024,0
500025,0
500026,0
500027,0
500028,0
500029,0
500030,0
500031,0
500032,0
500033,0
500034,0
500035,0
500036,0
500037,0
500039,0
500040,0
500041,0
500042,0
2400060,0
500044,0
500045,0
500046,0
500047,0
500048,0
500049,0
500051,0
500052,0
500053,0
500054,0
500055,1
500056,0
500057,0
500058,0
500059,1
500060,0
500061,1
500062,1
500065,0
500066,0
500067,0
500068,0
500070,0
500071,0
500072,0
500073,0
500074,1
500075,0
500076,0
500078,1
500079,0
500080,0
500081,0
500082,0
500389,0
500390,0
500394,1
500398,1
500402,1
500405,0
500407,1
500408,1
500409,1
500411,1
500417,1
500418,1
500419,0
500420,1
500421,1
500423,1
500425,1
500426,1
500428,0
500429,0
500430,0
500431,0
500432,0
500433,0
500434,0
500435,0
500436,0
500437,0
500438,0
500439,0
500440,1
500441,1
